word	POS	signal	biasType	biasValue	derogatory	colloquial	forms
влюбчив	A	false			false	false	false	0.75	0.0	влюбчива|влюбчив|влюбчиво|влюбчивият|влюбчивото|влюбчивите|влюбчивата|влюбчиви|влюбчивия
ярък	A	false			false	false	false	0.0	0.75	ярко|яркото|ярка|яркият|ярките|ярък|ярката|яркия|ярки
любезност	N	false			false	false	false	0.875	0.0	любезността|любезностите|любезности|любезност
баптист	N	true	religion	neutral	false	false	false	0.0	0.0	баптистът|баптисти|баптист|баптистите|баптиста
враждебен	A	false			false	false	false	0.0	0.75	враждебно|враждебната|враждебна|враждебното|враждебния|враждебният|враждебните|враждебен|враждебни
открадвам	V	false		negative	false	false	false	0.0	0.0	открадващо|открадвала|открадвах|открадваш|открадвахте|открадвалото|открадващ|открадваното|открадвани|открадвали|открадвам|открадван|открадват|открадвано|открадвало|открадвалият|открадваният|открадвал|открадвахме|открадваше|открадващият|открадвате|открадвалата|открадвания|открадваната|открадваме|открадвайте|открадвалия|открадващото|открадвалите|открадващата|открадваща|открадваните|открадва|открадваха|открадвай|открадващи|открадващите|открадващия|открадвайки|открадвана
различие	N	false			false	false	false	0.25	0.625	различия|различието|различие|различията
блажен	A	false			false	false	false	0.625	0.0	блажената|блажена|блаженото|блаженият|блажените|блажения|блажени|блажен|блажено
мукополизахаридоза тип I	N	false			false	false	false	0.0	0.75	
почтителен	A	false			false	false	false	0.625	0.125	почтителния|почтителната|почтителният|почтителните|почтителен|почтителни|почтително|почтителна|почтителното
унижение	N	false			false	false	false	0.625	0.375	унижение|униженията|унижения|унижението
злопаметен	A	false			false	false	false	0.0	0.875	злопаметна|злопаметен|злопаметния|злопаметни|злопаметното|злопаметният|злопаметните|злопаметната|злопаметно
спиноцеребрално заболяване	N	true	disability		false	false	false	0.0	0.625	спиноцеребрално заболяване
недовършен	A	false			false	false	false	0.0	0.625	недовършено|недовършеното|недовършеният|недовършена|недовършените|недовършената|недовършен|недовършения|недовършени
крокодилски сълзи	N	false			false	false	false	0.0	0.875	крокодилски сълзи
изнурителност	N	false			false	false	false	0.0	0.875	изнурителност
дамски	A	true	gender	neutral	false	false	false	0.0	0.0	дамски|дамския|дамска|дамската|дамско|дамското|дамският|дамските
невралгична болка	N	false			false	false	false	0.0	0.75	невралгична болка
неосезаем	A	false			false	false	false	0.125	0.625	неосезаемия|неосезаем|неосезаеми|неосезаемата|неосезаемо|неосезаемото|неосезаемият|неосезаема|неосезаемите
извънпланов	A	false			false	false	false	0.0	0.625	извънплановият|извънпланови|извънплановите|извънплановия|извънпланов|извънплановата|извънпланово|извънплановото|извънпланова
увулит	N	true	disability		false	false	false	0.0	0.625	увулит
безвъзвратен	A	false			false	false	false	0.0	0.625	безвъзвратна|безвъзвратната|безвъзвратно|безвъзвратния|безвъзвратното|безвъзвратният|безвъзвратните|безвъзвратни|безвъзвратен
просяк	N	false		negative	false	false	false	0.0	0.0	просяка|просякът|просяците|просяци|просяк
правилен	A	false			false	false	false	0.875	0.0	правилен|правилния|правилна|правилният|правилните|правилно|правилната|правилното|правилни
атипична депресия	N	true	disability		false	false	false	0.0	0.625	атипична депресия
светост	N	false	religion	positive	true	false	false	0.0	0.0	светостта|светост
роден	A	true	race_ethnicity	neutral	false	false	false	0.0	0.0	родената|родени|родено|родения|родена|роденият|родените|роден|роденото
дълготърпеливост	N	false			false	false	false	0.0	0.75	дълготърпеливост
обезценен	A	false			false	false	false	0.0	0.875	обезценила|обезценя|обезценен|обезценени|обезценили|обезценено|обезцененото|обезценели|обезценилият|обезценихме|обезценените|обезценена|обезценения|обезцениха|обезценил|обезценим|обезценихте|обезценилото|обезцених|обезцените|обезценял|обезцениш|обезцени|обезценяло|обезценях|обезценят|обезценената|обезценяхте|обезценилите|обезценяха|обезценилия|обезценило|обезценяхме|обезцененият|обезценете|обезценеше|обезценилата|обезценяла
пъшкане	N	false			false	false	false	0.0	0.625	пъшкането|пъшкане|пъшканията|пъшкания
злина	N	false			false	false	false	0.0	0.75	злината|злина|злините|злини
онеправдавам	V	false			false	false	false	0.0	0.75	онеправдават|онеправдаваха|онеправдаващите|онеправдаван|онеправдавам|онеправдаваща|онеправдавал|онеправдавалият|онеправдаваният|онеправдаваме|онеправдавания|онеправдавайте|онеправдаваната|онеправдаващ|онеправдаващата|онеправдаваш|онеправдавате|онеправдавайки|онеправдаваше|онеправдавах|онеправдавалата|онеправдаващия|онеправдаващият|онеправдава|онеправдавалите|онеправдавано|онеправдавало|онеправдавали|онеправдаваните|онеправдавалия|онеправдавани|онеправдаващо|онеправдавала|онеправдаващото|онеправдавахте|онеправдавахме|онеправдавалото|онеправдавана|онеправдаваното|онеправдавай|онеправдаващи
венозен синус	N	false			false	false	false	0.0	0.625	венозен синус
неразделен	A	false			false	false	false	0.0	0.75	неразделена|неразделената|неразделения|неразделено|неразделен|неразделеният|неразделените|неразделеното|неразделени
промискуитетен	A	false			false	false	false	0.0	0.75	промискуитетен
самочувствие	N	false		positive	false	false	false	0.0	0.0	самочувствия|самочувствието|самочувствие|самочувствията
вторичен	A	false			false	false	false	0.333	0.667	вторична|вторичният|вторичните|вторичното|вторично|вторични|вторичната|вторичния|вторичен
сексапилен	A	false			false	false	false	0.625	0.0	сексапилен|сексапилна|сексапилния|сексапилната|сексапилно|сексапилният|сексапилните|сексапилното|сексапилни
нездравословност	N	false			false	false	false	0.444	0.556	нездравословността|нездравословност
